FIPS,bronze.rate,silver.rate,gold.rate,Column1,bronze percent difference,Column3,Column4,Column5,Class,,,26,,,,,,,,,
31123,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.190034679,6,,,
31135,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.118759516,5,,,
31137,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.142125524,1,,,
31139,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.099058491,1,,,
31141,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.144072661,2,,,
31143,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.172160258,2,,,
31145,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.185608229,1,,,
31147,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.188851627,1,,,
31149,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.131567022,4,,,
31157,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.13034992,28,,,
31161,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.190330386,1,,,
31165,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.184133449,1,,,
31167,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.09814347,4,,,
31171,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.208536372,1,,,
31179,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.058955135,1,,,
31181,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.179494031,1,,,
31183,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.193270586,1,,,
31185,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.096790522,2,,,
